price,price_per_sqft,area,bedRoom,bathroom,floorNum
6.0,24691.0,2430.0,4,5,2.0
0.98,9074.0,1080.0,9,4,1.0
2.5,7058.0,3542.0,4,4,3.0
0.45,5000.0,900.0,3,2,2.0
1.34,5000.0,2680.0,1,1,1.0
0.45,8333.0,540.0,4,2,2.0
7.0,25926.0,2700.0,5,5,3.0
10.5,43210.0,2430.0,12,12,4.0
7.3,1560.0,46795.0,9,9,3.0
5.65,23870.0,2367.0,8,6,3.0
2.1,17284.0,1215.0,6,6,3.0
3.75,25562.0,1467.0,6,6,3.0
0.85,7727.0,1100.0,2,2,4.0
4.5,33333.0,1350.0,3,3,2.0
4.49,24455.0,1836.0,9,9,3.0
0.85,8910.0,954.0,1,2,1.0
0.7,3500.0,2000.0,4,4,2.0
2.75,17662.0,1557.0,3,3,2.0
2.9,11600.0,2500.0,4,4,2.0
3.25,21495.0,1512.0,5,6,4.0
7.35,41762.0,1760.0,4,4,3.0
18.0,39841.0,4518.0,5,4,4.0
1.4,23932.0,585.0,8,8,4.0
1.2,10122.0,1186.0,6,2,2.0
7.0,23333.0,3000.0,4,4,3.0
9.5,40135.0,2367.0,12,12,4.0
1.35,24545.0,550.0,5,3,3.0
1.1,6111.0,1800.0,8,4,2.0
0.8,54794.0,146.0,5,4,3.0
1.35,12222.0,1105.0,5,5,3.0
1.35,10000.0,1350.0,5,5,4.0
5.0,34083.0,1467.0,13,13,4.0
1.6,11852.0,1350.0,5,5,3.0
6.0,9634.0,6228.0,5,5,2.0
9.0,27778.0,3240.0,8,5,3.0
2.5,13888.0,1800.0,9,5,1.0
0.65,144444.0,45.0,3,3,3.0
11.95,36883.0,3240.0,3,3,1.0
5.75,22184.0,2592.0,4,4,2.0
0.75,75000.0,100.0,2,3,3.0
4.0,17778.0,2250.0,5,5,3.0
12.0,38095.0,3150.0,5,6,4.0
2.25,6944.0,3240.0,10,10,1.0
6.21,23000.0,2700.0,6,6,4.0
7.8,23148.0,3370.0,4,4,2.0
1.7,18889.0,900.0,5,4,3.0
3.1,8486.0,3653.0,5,5,21.0
0.62,11273.0,550.0,3,1,2.0
7.35,22812.0,3222.0,4,5,2.0
6.0,9634.0,6228.0,4,5,2.0
0.38,8444.0,450.0,2,2,1.0
3.2,13519.0,2367.0,3,3,1.0
2.5,25960.0,963.0,7,7,4.0
2.6,24074.0,1080.0,4,4,4.0
0.4,8889.0,450.0,7,4,4.0
0.65,92857.0,70.0,1,1,1.0
5.5,28424.0,1935.0,1,1,1.0
